id,source,address,city,state,zip,region,price,beds,baths,sqft,lotSize,yearBuilt,propertyType,listingStatus,daysOnMarket,mlsNumber,listingId,image,listingUrl,photoCount,hasGarage,hasPool,slug,scrapedAt
9263611752,realty_in_us,1130 Cliffhaven Ct,Ormond Beach,FL,32174,Daytona Area,,4,3,2275,,,single_family,for_sale,,,2986126417,https://nh.rdcpix.com/bf3f955406541b5dcbb4d6dd84f3fa50l-f1073432986s.jpg,https://www.realtor.com/realestateandhomes-detail/1130-Cliffhaven-Ct_Ormond-Beach_FL_32174_M92636-11752,3,,,1130-cliffhaven-ct-ormond-beach,2025-11-17T22:18:29.375Z
9291331950,realty_in_us,622 N Beach St Unit 144B,Daytona Beach,FL,32114,Daytona Area,4000,1,1,,,,mobile,for_sale,,,2985773872,https://ap.rdcpix.com/9f0fbcd7a06633037897d8a2faac8e1el-m3824712742s.jpg,https://www.realtor.com/realestateandhomes-detail/622-N-Beach-St-144B_Daytona-Beach_FL_32114_M92913-31950,6,,,622-n-beach-st-unit-144b-daytona-beach,2025-11-17T22:18:24.985Z
6469193494,realty_in_us,612 Marianna Rd,Auburndale,FL,33823,Polk County,5000,4,3,1532,8276,,single_family,for_sale,,,2988242399,https://ap.rdcpix.com/39692940ce8c3aeac4d06711f1a4ecdal-m1587814153s.jpg,https://www.realtor.com/realestateandhomes-detail/612-Marianna-Rd_Auburndale_FL_33823_M64691-93494,5,,,612-marianna-rd-auburndale,2025-11-17T22:18:09.546Z
9396493806,realty_in_us,622 N Beach St Unit 141B,Daytona Beach,FL,32114,Daytona Area,8500,1,1,,,,mobile,for_sale,,,2986039289,https://ap.rdcpix.com/161f6c171cee2d6d09c6ed1cb54178f1l-m3510530862s.jpg,https://www.realtor.com/realestateandhomes-detail/622-N-Beach-St-141B_Daytona-Beach_FL_32114_M93964-93806,8,,,622-n-beach-st-unit-141b-daytona-beach,2025-11-17T22:18:24.985Z
9075704826,realty_in_us,622 N Beach St Unit 112S,Daytona Beach,FL,32114,Daytona Area,8500,1,1,,,,mobile,for_sale,,,2986031457,https://ap.rdcpix.com/6c52f36af57d64a8471b99cdcaf41dcel-m1606243605s.jpg,https://www.realtor.com/realestateandhomes-detail/622-N-Beach-St-112S_Daytona-Beach_FL_32114_M90757-04826,5,,,622-n-beach-st-unit-112s-daytona-beach,2025-11-17T22:18:24.985Z
9227084048,realty_in_us,100 E Hampton Dr,Auburndale,FL,33823,Polk County,8545,3,2,960,,,mobile,for_sale,,,2987624011,https://ap.rdcpix.com/08f9f146f4e19064a2b5b2a70a09a89el-m3576167342s.jpg,https://www.realtor.com/realestateandhomes-detail/100-E-Hampton-Dr_Auburndale_FL_33823_M92270-84048,3,,,100-e-hampton-dr-auburndale,2025-11-17T22:18:09.546Z
9319262358,realty_in_us,92 Bonny Shores Dr,Lakeland,FL,33801,Polk County,9995,2,1,,,,mobile,for_sale,,,2984497272,https://ap.rdcpix.com/d0aec380e499a5ae86729b58c51be0edl-m1170062513s.jpg,https://www.realtor.com/realestateandhomes-detail/92-Bonny-Shores-Dr_Lakeland_FL_33801_M93192-62358,24,,,92-bonny-shores-dr-lakeland,2025-11-17T22:18:02.071Z
9372552749,realty_in_us,127 Bonny Shores Dr,Lakeland,FL,33801,Polk County,10000,2,1,,,,mobile,for_sale,,,2984612474,https://ap.rdcpix.com/06b00369d662e81ecdd7e0b82e357008l-m903988649s.jpg,https://www.realtor.com/realestateandhomes-detail/127-Bonny-Shores-Dr_Lakeland_FL_33801_M93725-52749,4,,,127-bonny-shores-dr-lakeland,2025-11-17T22:18:02.071Z
9757033559,realty_in_us,142 Young St,Port Orange,FL,32127,Daytona Area,10000,2,2,1020,,,mobile,for_sale,,,2987887658,https://ap.rdcpix.com/b5cf1f18ca8fe743973a5ce2a5543d93l-m2767545231s.jpg,https://www.realtor.com/realestateandhomes-detail/142-Young-St_Port-Orange_FL_32127_M97570-33559,25,,,142-young-st-port-orange,2025-11-17T22:18:31.850Z
9643085875,realty_in_us,5608 Christiancy Ave,Port Orange,FL,32127,Daytona Area,11500,2,1,610,,,mobile,for_sale,,,2987336385,https://ap.rdcpix.com/6e1617d9c7f6cf2813a4881d0b0d3e32l-m2499516938s.jpg,https://www.realtor.com/realestateandhomes-detail/5608-Christiancy-Ave_Port-Orange_FL_32127_M96430-85875,25,,,5608-christiancy-ave-port-orange,2025-11-17T22:18:31.850Z
9845938801,realty_in_us,500 Railway St,Daytona Beach,FL,32114,Daytona Area,14100,,,,5227,,land,for_sale,,,2985838150,https://ap.rdcpix.com/07a381449847f7f827eb2953fd156ed7l-m113581330s.jpg,https://www.realtor.com/realestateandhomes-detail/500-Railway-St_Daytona-Beach_FL_32114_M98459-38801,1,,,500-railway-st-daytona-beach,2025-11-17T22:18:24.985Z
9511166349,realty_in_us,54 Dale Dr,Winter Haven,FL,33880,Polk County,14900,2,1,,,,mobile,for_sale,,,2988641148,https://ap.rdcpix.com/5c714251f61ccf7238027806e53184fcl-m3885888281s.jpg,https://www.realtor.com/realestateandhomes-detail/54-Dale-Dr_Winter-Haven_FL_33880_M95111-66349,45,,,54-dale-dr-winter-haven,2025-11-17T22:18:06.867Z
9160377918,realty_in_us,1234 Reynolds Rd Lot 282,Lakeland,FL,33801,Polk County,17000,3,2,,,,mobile,for_sale,,,2986737109,https://ap.rdcpix.com/b156ee1a42aa27710a02f633cdb3ab6bl-m896088446s.jpg,https://www.realtor.com/realestateandhomes-detail/1234-Reynolds-Rd-Lot-282_Lakeland_FL_33801_M91603-77918,16,,,1234-reynolds-rd-lot-282-lakeland,2025-11-17T22:18:02.070Z
5213288889,realty_in_us,98 Lake Charlotte Dr W,Winter Haven,FL,33880,Polk County,17000,2,1,672,,,mobile,for_sale,,,2985418128,https://ap.rdcpix.com/4f92b41af95e84f5f2f7fc53aca1bac7l-m3853297807s.jpg,https://www.realtor.com/realestateandhomes-detail/98-Lake-Charlotte-Dr-W_Winter-Haven_FL_33880_M52132-88889,20,,,98-lake-charlotte-dr-w-winter-haven,2025-11-17T22:18:06.870Z
9215658983,realty_in_us,Alabama St,Daytona Beach,FL,32114,Daytona Area,19900,,,,8712,,land,for_sale,,,2987374119,https://ap.rdcpix.com/89a54686f60f125e8d1be23040250ce9l-b930155156s.jpg,https://www.realtor.com/realestateandhomes-detail/745-Alabama-St_Daytona-Beach_FL_32114_M92156-58983,5,,,alabama-st-daytona-beach,2025-11-17T22:18:24.985Z
9660549380,realty_in_us,5417 Wilson Dr,Port Orange,FL,32127,Daytona Area,19900,2,2,1100,,,mobile,for_sale,,,2986964954,https://ap.rdcpix.com/51a327d612febb7811513e3b55db7aacl-m4205039228s.jpg,https://www.realtor.com/realestateandhomes-detail/5417-Wilson-Dr_Port-Orange_FL_32127_M96605-49380,23,,,5417-wilson-dr-port-orange,2025-11-17T22:18:31.851Z
9772013830,realty_in_us,20 Charles Dr,Winter Haven,FL,33880,Polk County,19990,2,2,,,,mobile,for_sale,,,2986059499,https://ap.rdcpix.com/173c28310c7cd000c4ef1c7617af7773l-m3373610599s.jpg,https://www.realtor.com/realestateandhomes-detail/20-Charles-Dr_Winter-Haven_FL_33880_M97720-13830,51,,,20-charles-dr-winter-haven,2025-11-17T22:18:06.870Z
9957812916,realty_in_us,47 Windward Ct Unit 47,Port Orange,FL,32127,Daytona Area,19999,2,1,1032,,,mobile,for_sale,,,2988507267,https://ap.rdcpix.com/1014c5dd7bbd8e533337538254269c66l-m40484108s.jpg,https://www.realtor.com/realestateandhomes-detail/47-Windward-Ct_Port-Orange_FL_32127_M99578-12916,14,,,47-windward-ct-unit-47-port-orange,2025-11-17T22:18:31.849Z
9986708542,realty_in_us,4632 Armitage Pl Unit 159,Lakeland,FL,33801,Polk County,20000,2,2,1064,,,mobile,for_sale,,,2986917361,https://ap.rdcpix.com/eb8d97c1012d7b229ed3d0a2d4cb3b58l-m4255407561s.jpg,https://www.realtor.com/realestateandhomes-detail/4632-Armitage-Pl-159_Lakeland_FL_33801_M99867-08542,2,,,4632-armitage-pl-unit-159-lakeland,2025-11-17T22:18:02.070Z
9199825176,realty_in_us,158 Jay Dr Unit 158,Winter Haven,FL,33880,Polk County,20000,2,2,672,,,mobile,for_sale,,,2983100626,https://ap.rdcpix.com/231306abde3879ff61cd78892217e263l-m1677372946s.jpg,https://www.realtor.com/realestateandhomes-detail/158-Jay-Dr_Winter-Haven_FL_33880_M91998-25176,25,,,158-jay-dr-unit-158-winter-haven,2025-11-17T22:18:06.871Z
5500623124,realty_in_us,90 Royal Palm Cir,Port Orange,FL,32127,Daytona Area,21000,2,2,798,,,mobile,for_sale,,,2988037470,https://ap.rdcpix.com/f2bb2d841581c59d5ad987192af83476l-m167875997s.jpg,https://www.realtor.com/realestateandhomes-detail/90-Royal-Palm-Cir_Port-Orange_FL_32127_M55006-23124,26,,,90-royal-palm-cir-port-orange,2025-11-17T22:18:31.849Z
9025604998,realty_in_us,301 Second St,Brandon,FL,33511,Tampa Bay,22000,2,1,900,2500,,mobile,for_sale,,,2985286194,https://ap.rdcpix.com/b9a526c243acd6f666ea65655f2b72f0l-m2629598279s.jpg,https://www.realtor.com/realestateandhomes-detail/301-Second-St_Brandon_FL_33511_M90256-04998,13,,,301-second-st-brandon,2025-11-17T22:17:56.922Z
9929781522,realty_in_us,944 Reynolds Rd Lot 160,Lakeland,FL,33801,Polk County,22900,2,2,728,,,mobile,for_sale,,,2987378429,https://ap.rdcpix.com/444b41f04e5be8c2fb8bc88425b66cdbl-m89783521s.jpg,https://www.realtor.com/realestateandhomes-detail/944-Reynolds-Rd-Lot-160_Lakeland_FL_33801_M99297-81522,9,,,944-reynolds-rd-lot-160-lakeland,2025-11-17T22:18:02.070Z
9051381282,realty_in_us,92 Tropical Falls Dr,Ormond Beach,FL,32174,Daytona Area,22900,2,2,936,,,mobile,for_sale,,,2988202929,https://ap.rdcpix.com/d0bc3e4d7b9af0b603269507d07ab741l-m3141581835s.jpg,https://www.realtor.com/realestateandhomes-detail/92-Tropical-Falls-Dr_Ormond-Beach_FL_32174_M90513-81282,29,,,92-tropical-falls-dr-ormond-beach,2025-11-17T22:18:29.375Z
9793619156,realty_in_us,6946 Old Pasco Rd Unit 252,Wesley Chapel,FL,33544,Tampa Bay,23000,2,1,444,,,mobile,for_sale,,,2987739488,https://ap.rdcpix.com/0dafbcf9c672fe1f3cb73a491e192e5cl-m2262059838s.jpg,https://www.realtor.com/realestateandhomes-detail/6946-Old-Pasco-Rd-252_Wesley-Chapel_FL_33544_M97936-19156,46,,,6946-old-pasco-rd-unit-252-wesley-chapel,2025-11-17T22:17:59.442Z
9618319599,realty_in_us,134 Bonny Shores Dr,Lakeland,FL,33801,Polk County,23999,2,2,934,,,mobile,for_sale,,,2985924139,https://ap.rdcpix.com/4e985a034b1083381dbe596252568e3dl-m737118015s.jpg,https://www.realtor.com/realestateandhomes-detail/134-Bonny-Shores-Dr_Lakeland_FL_33801_M96183-19599,32,,,134-bonny-shores-dr-lakeland,2025-11-17T22:18:02.070Z
9542972660,realty_in_us,6946 Old Pasco Rd Unit 222,Wesley Chapel,FL,33544,Tampa Bay,24900,1,1,546,,,mobile,for_sale,,,2987722468,https://ap.rdcpix.com/7add863a5e68c4746f19b9f2541725cfl-m76986600s.jpg,https://www.realtor.com/realestateandhomes-detail/6946-Old-Pasco-Rd-222_Wesley-Chapel_FL_33544_M95429-72660,51,,,6946-old-pasco-rd-unit-222-wesley-chapel,2025-11-17T22:17:59.442Z
9206125015,realty_in_us,612 Tulip Cir W,Auburndale,FL,33823,Polk County,24900,3,2,1248,,,mobile,for_sale,,,2987148190,https://ap.rdcpix.com/6d7dca19f13c6ff666afdda69ca952ccl-m517460541s.jpg,https://www.realtor.com/realestateandhomes-detail/612-Tulip-Cir-W_Auburndale_FL_33823_M92061-25015,16,,,612-tulip-cir-w-auburndale,2025-11-17T22:18:09.547Z
9384276752,realty_in_us,77 Tropical Falls Dr,Ormond Beach,FL,32174,Daytona Area,24900,2,2,1344,,,mobile,for_sale,,,2988436593,https://ap.rdcpix.com/64c943f9de69b9820e9d9b13c1aa84f2l-m886214442s.jpg,https://www.realtor.com/realestateandhomes-detail/77-Tropical-Falls-Dr_Ormond-Beach_FL_32174_M93842-76752,1,,,77-tropical-falls-dr-ormond-beach,2025-11-17T22:18:29.375Z
9711044449,realty_in_us,24 Glen Falls Dr,Ormond Beach,FL,32174,Daytona Area,24950,2,2,1248,,,mobile,for_sale,,,2988417029,https://ap.rdcpix.com/c73c6fdd37ecbb05cdb69df00bc6ef98l-m2330916339s.jpg,https://www.realtor.com/realestateandhomes-detail/24-Glen-Falls-Dr_Ormond-Beach_FL_32174_M97110-44449,32,,,24-glen-falls-dr-ormond-beach,2025-11-17T22:18:29.375Z
9215127585,realty_in_us,4458 Applegate Dr Unit 5,Lakeland,FL,33801,Polk County,25000,3,2,1512,,,mobile,for_sale,,,2984775330,https://ap.rdcpix.com/8c28bbb42b66bcc1fe2608a1b62cffefl-m2081290653s.jpg,https://www.realtor.com/realestateandhomes-detail/4458-Applegate-Dr-5_Lakeland_FL_33801_M92151-27585,20,,,4458-applegate-dr-unit-5-lakeland,2025-11-17T22:18:02.071Z
9105900028,realty_in_us,13 Key West Ave,Winter Haven,FL,33880,Polk County,25000,3,,1248,,,mobile,for_sale,,,2985975055,https://ap.rdcpix.com/ec2dda465d6a9987ae6eecbbd18c0b07l-m1451921459s.jpg,https://www.realtor.com/realestateandhomes-detail/13-Key-West-Ave_Winter-Haven_FL_33880_M91059-00028,16,,,13-key-west-ave-winter-haven,2025-11-17T22:18:06.870Z
9329819197,realty_in_us,180 Arianna Way,Auburndale,FL,33823,Polk County,25000,2,2,1040,,,mobile,for_sale,,,2987315526,https://ap.rdcpix.com/c89f3ff3effe04f12563735cdddd2d1al-m513479403s.jpg,https://www.realtor.com/realestateandhomes-detail/180-Arianna-Way_Auburndale_FL_33823_M93298-19197,67,,,180-arianna-way-auburndale,2025-11-17T22:18:09.547Z
6718041487,realty_in_us,Division St,Daytona Beach,FL,32114,Daytona Area,25000,,,,5227,,land,for_sale,,,2988141132,https://ap.rdcpix.com/a17bf295dc67dec25467a31b3477c759l-m3558794580s.jpg,https://www.realtor.com/realestateandhomes-detail/Division-St_Daytona-Beach_FL_32114_M67180-41487,4,,,division-st-daytona-beach,2025-11-17T22:18:24.984Z
9070679273,realty_in_us,5 Ribbon Falls Dr,Ormond Beach,FL,32174,Daytona Area,25000,2,2,1040,,,mobile,for_sale,,,2988436594,https://ap.rdcpix.com/a39603c08a4e26f494290f74c38dc85bl-m3084223155s.jpg,https://www.realtor.com/realestateandhomes-detail/5-Ribbon-Falls-Dr_Ormond-Beach_FL_32174_M90706-79273,1,,,5-ribbon-falls-dr-ormond-beach,2025-11-17T22:18:29.375Z
9879520621,realty_in_us,5639 James Dr,Port Orange,FL,32127,Daytona Area,25900,2,2,840,,,mobile,for_sale,,,2988433204,https://ap.rdcpix.com/22a3884e8abb8b102e491a8964bcd7c3l-m3946992627s.jpg,https://www.realtor.com/realestateandhomes-detail/5639-James-Dr_Port-Orange_FL_32127_M98795-20621,23,,,5639-james-dr-port-orange,2025-11-17T22:18:31.849Z
9680921288,realty_in_us,1234 Reynolds Rd Lot 108,Lakeland,FL,33801,Polk County,27500,3,2,,,,mobile,for_sale,,,2986392040,https://ap.rdcpix.com/70e3fc81395230e430ca37ddf72093acl-m472636027s.jpg,https://www.realtor.com/realestateandhomes-detail/1234-Reynolds-Rd-Lot-108_Lakeland_FL_33801_M96809-21288,32,,,1234-reynolds-rd-lot-108-lakeland,2025-11-17T22:18:02.070Z
9794549666,realty_in_us,219 Second St,Valrico,FL,33511,Tampa Bay,28000,2,1,1000,2500,,mobile,for_sale,,,2987694027,https://ap.rdcpix.com/76d5fbae7b6a7c562686fd73a1bc8610l-m1893972086s.jpg,https://www.realtor.com/realestateandhomes-detail/219-Second-St_Brandon_FL_33511_M97945-49666,17,,,219-second-st-brandon,2025-11-17T22:17:56.922Z
9585194393,realty_in_us,16 Coral Ln,Auburndale,FL,33823,Polk County,28500,1,1,693,,,mobile,for_sale,,,2987169247,https://ap.rdcpix.com/46fae2d92417255d39a8f7ff01e1dcaal-m1822133765s.jpg,https://www.realtor.com/realestateandhomes-detail/16-Coral-Ln_Auburndale_FL_33823_M95851-94393,18,,,16-coral-ln-auburndale,2025-11-17T22:18:09.547Z
5011310783,realty_in_us,Fremont Ave,Daytona Beach,FL,32114,Daytona Area,28500,,,,6625,,land,for_sale,,,2985865151,https://ap.rdcpix.com/3feca93a4f122c746c56d696873422e2l-m444580218s.jpg,https://www.realtor.com/realestateandhomes-detail/Fremont-Ave_Daytona-Beach_FL_32114_M50113-10783,1,,,fremont-ave-daytona-beach,2025-11-17T22:18:24.985Z
9361448827,realty_in_us,51 Odessa Dr,Winter Haven,FL,33880,Polk County,29000,2,1,840,,,mobile,for_sale,,,2985743990,https://ap.rdcpix.com/2f7303b62619762aa1ad89155a067ae8l-m139318223s.jpg,https://www.realtor.com/realestateandhomes-detail/51-Odessa-Dr_Winter-Haven_FL_33880_M93614-48827,24,,,51-odessa-dr-winter-haven,2025-11-17T22:18:06.870Z
9641966393,realty_in_us,14236 Maxhook Rd Unit 21,Clermont,FL,34711,Greater Orlando,29750,2,2,,728,,mobile,for_sale,,,2988483461,https://ap.rdcpix.com/600cf3af5ca78c7b1d9179456af0c5b7l-m749205324s.jpg,https://www.realtor.com/realestateandhomes-detail/14236-Max-Hooks-Rd-Lot-21_Clermont_FL_34711_M96419-66393,10,,,14236-maxhook-rd-unit-21-clermont,2025-11-17T22:18:22.366Z
9638208827,realty_in_us,5630 James Dr,Port Orange,FL,32127,Daytona Area,29900,2,2,1104,,,mobile,for_sale,,,2987859830,https://ap.rdcpix.com/18e874b7bcc35f44af0f7119683452cel-m1625015552s.jpg,https://www.realtor.com/realestateandhomes-detail/5630-James-Dr_Port-Orange_FL_32127_M96382-08827,25,,,5630-james-dr-port-orange,2025-11-17T22:18:31.850Z
9803025299,realty_in_us,5442 Marshfield Dr,Port Orange,FL,32127,Daytona Area,29900,2,2,,,,mobile,for_sale,,,2979370321,https://ap.rdcpix.com/d27924a5a546d421719bc2d053022f3el-m2883742349s.jpg,https://www.realtor.com/realestateandhomes-detail/5442-Marshfield-Dr_Port-Orange_FL_32127_M98030-25299,9,,,5442-marshfield-dr-port-orange,2025-11-17T22:18:31.851Z
9128910915,realty_in_us,4891 Spruce Creek Rd,Port Orange,FL,32127,Daytona Area,29922,2,2,868,,,mobile,for_sale,,,2988443354,https://ap.rdcpix.com/98c72b16aa0dcbf64ba5da72159e5d38l-m2266676936s.jpg,https://www.realtor.com/realestateandhomes-detail/4891-Spruce-Creek-Rd_Port-Orange_FL_32127_M91289-10915,12,,,4891-spruce-creek-rd-port-orange,2025-11-17T22:18:31.849Z
9714965942,realty_in_us,Orange Ave,Daytona Beach,FL,32114,Daytona Area,30000,,,,7841,,land,for_sale,,,2988302626,https://ap.rdcpix.com/e3624da265c7fcaf3396b40ea2052edfl-m2945042019s.jpg,https://www.realtor.com/realestateandhomes-detail/740-Orange-Ave_Daytona-Beach_FL_32114_M97149-65942,1,,,orange-ave-daytona-beach,2025-11-17T22:18:24.984Z
6998111186,realty_in_us,360 Jefferson St,Daytona Beach,FL,32114,Daytona Area,30000,,,,3500,,land,for_sale,,,2985914357,https://ap.rdcpix.com/ee28bca264b802b2673b7ecfed39af9al-m620977219s.jpg,https://www.realtor.com/realestateandhomes-detail/360-Jefferson-St_Daytona-Beach_FL_32114_M69981-11186,3,,,360-jefferson-st-daytona-beach,2025-11-17T22:18:24.985Z
9785162345,realty_in_us,114 Misty Falls Dr,Ormond Beach,FL,32174,Daytona Area,31900,2,2,1456,,,mobile,for_sale,,,2988436595,https://ap.rdcpix.com/3e16e45aa7c8cbf5cbbb97693c140654l-m4049838210s.jpg,https://www.realtor.com/realestateandhomes-detail/114-Misty-Falls-Dr_Ormond-Beach_FL_32174_M97851-62345,1,,,114-misty-falls-dr-ormond-beach,2025-11-17T22:18:29.375Z
9480895799,realty_in_us,76 Misty Falls Dr,Ormond Beach,FL,32174,Daytona Area,31900,2,2,1248,,,mobile,for_sale,,,2988180127,https://ap.rdcpix.com/626b48303af6a810470e5418bb1fdbc5l-m1985921148s.jpg,https://www.realtor.com/realestateandhomes-detail/76-Misty-Falls-Dr_Ormond-Beach_FL_32174_M94808-95799,34,,,76-misty-falls-dr-ormond-beach,2025-11-17T22:18:29.375Z
5521044860,realty_in_us,10 Highland Falls Dr,Ormond Beach,FL,32174,Daytona Area,32500,2,2,1352,,,mobile,for_sale,,,2988415860,https://ap.rdcpix.com/3aa740da70e91c0918ff4dd98b06700el-m21069061s.jpg,https://www.realtor.com/realestateandhomes-detail/10-Highland-Falls-Dr_Ormond-Beach_FL_32174_M55210-44860,20,,,10-highland-falls-dr-ormond-beach,2025-11-17T22:18:29.375Z
9374289801,realty_in_us,5644 Regency Blvd Unit 229,Port Orange,FL,32127,Daytona Area,32500,2,1,588,,,mobile,for_sale,,,2988216633,https://ap.rdcpix.com/7e280b7cc9e9dcb68d9c60ecfdec7e82l-m3034163575s.jpg,https://www.realtor.com/realestateandhomes-detail/5644-Regency-Blvd-229_Port-Orange_FL_32127_M93742-89801,2,,,5644-regency-blvd-unit-229-port-orange,2025-11-17T22:18:31.849Z
9822497835,realty_in_us,1335 Fleming Ave Lot 150,Ormond Beach,FL,32174,Daytona Area,33000,2,1,672,,,mobile,for_sale,,,2988160782,https://ap.rdcpix.com/170714c06a9946ec2ad64abf7d1dcbadl-m2094960781s.jpg,https://www.realtor.com/realestateandhomes-detail/1335-Fleming-Ave-Lot-150_Ormond-Beach_FL_32174_M98224-97835,25,,,1335-fleming-ave-lot-150-ormond-beach,2025-11-17T22:18:29.375Z
